Node1,Node2,Latitude1,Longitude1,Latitude2,Longitude2
Deer Park,Jokers Wild Outdoors,47.9543375,-117.476891,47.9300666,-117.3921038
B & B Pump Service,Jokers Wild Outdoors,47.9253362,-117.456811,47.9300666,-117.3921038
God's Love International,Jokers Wild Outdoors,47.9041077,-117.471322,47.9300666,-117.3921038
"7 C's Construction, Inc.",Jokers Wild Outdoors,47.918577,-117.440202,47.9300666,-117.3921038
B&K WALK'$ & WA$H,Jokers Wild Outdoors,47.91415370000001,-117.3998309,47.9300666,-117.3921038
Charlies Vw Shop,Jokers Wild Outdoors,47.908264,-117.42121,47.9300666,-117.3921038
J's U-Save Septic Pumping Services,Jokers Wild Outdoors,47.883466,-117.481503,47.9300666,-117.3921038
BAF Performance Horses,Jokers Wild Outdoors,47.9397135,-117.4065528,47.9300666,-117.3921038
National Property Inspect,Jokers Wild Outdoors,47.9063712,-117.3681807,47.9300666,-117.3921038
Mud Creek Farm,Lanning Construction,47.899479,-117.513189,47.9097695,-117.5211596
North Spokane Farm Museum,Lanning Construction,47.8596519,-117.505756,47.9097695,-117.5211596
Lanning Construction,Suncrest Park Private,47.9097695,-117.5211596,47.8141177,-117.6059235
Mud Creek Farm,Suncrest Park Private,47.899479,-117.513189,47.8141177,-117.6059235
Lanning Construction,Linder Concrete,47.9097695,-117.5211596,47.8133048,-117.5862829
North Spokane Farm Museum,Suncrest Park Private,47.8596519,-117.505756,47.8141177,-117.6059235
North Spokane Farm Museum,Pick of The Litter Dog Grooming,47.8596519,-117.505756,47.8497274,-117.5275606
North Spokane Farm Museum,Red Devil Training & Consulting llc,47.8596519,-117.505756,47.81668690000001,-117.5935641
Positively Aromatic,All Surface Roofing,47.858538,-117.5358953,47.8931619,-117.472489
All Surface Roofing,The Barn on Wild Rose Prairie,47.8931619,-117.472489,47.8579507,-117.5291238
All Surface Roofing,Linder Concrete,47.8931619,-117.472489,47.8133048,-117.5862829
All Surface Roofing,Suncrest Park Private,47.8931619,-117.472489,47.8141177,-117.6059235
All Surface Roofing,Red Devil Training & Consulting llc,47.8931619,-117.472489,47.81668690000001,-117.5935641
Pick of The Litter Dog Grooming,All Surface Roofing,47.8497274,-117.5275606,47.8931619,-117.472489
North Spokane Farm Museum,All Surface Roofing,47.8596519,-117.505756,47.8931619,-117.472489
Mud Creek Farm,All Surface Roofing,47.899479,-117.513189,47.8931619,-117.472489
Mud Creek Farm,The Barn on Wild Rose Prairie,47.899479,-117.513189,47.8579507,-117.5291238
Lanning Construction,The Barn on Wild Rose Prairie,47.9097695,-117.5211596,47.8579507,-117.5291238
Mud Creek Farm,Positively Aromatic,47.899479,-117.513189,47.858538,-117.5358953
Lanning Construction,Positively Aromatic,47.9097695,-117.5211596,47.858538,-117.5358953
Pick of The Litter Dog Grooming,Lanning Construction,47.8497274,-117.5275606,47.9097695,-117.5211596
Mud Creek Farm,Pick of The Litter Dog Grooming,47.899479,-117.513189,47.8497274,-117.5275606
Pick of The Litter Dog Grooming,Linder Concrete,47.8497274,-117.5275606,47.8133048,-117.5862829
Pick of The Litter Dog Grooming,Red Devil Training & Consulting llc,47.8497274,-117.5275606,47.81668690000001,-117.5935641
Pick of The Litter Dog Grooming,Suncrest Park Private,47.8497274,-117.5275606,47.8141177,-117.6059235
